2023-05-09 16:28:22.763 | DEBUG    | logs_system:post:36 - POST params: {'mentor': 'igor'}
2023-05-09 16:28:23.546 | DEBUG    | logs_system:post:36 - POST params: {'mentor': 'igor'}
2023-05-09 16:28:24.135 | DEBUG    | logs_system:post:36 - POST params: {'mentor': 'igor'}
2023-05-09 16:28:24.678 | DEBUG    | logs_system:post:36 - POST params: {'mentor': 'igor'}
2023-05-09 16:28:27.674 | ERROR    | logs_system:post:32 - Invalid token
2023-05-09 16:29:10.288 | ERROR    | logs_system:post:32 - Invalid token
2023-05-09 16:29:10.662 | ERROR    | logs_system:post:32 - Invalid token
2023-05-09 16:29:10.969 | ERROR    | logs_system:post:32 - Invalid token
2023-05-09 16:29:11.341 | ERROR    | logs_system:post:32 - Invalid token
2023-05-09 16:37:38.297 | DEBUG    | logs_system:get:27 - GET params: ImmutableMultiDict([('qastudiotoken', 'AERH23HHAEJJHJHHJJH')])
2023-05-09 16:37:38.299 | ERROR    | logs_system:get:28 - GET params: ImmutableMultiDict([('qastudiotoken', 'AERH23HHAEJJHJHHJJH')])
2023-05-09 16:37:38.300 | INFO     | logs_system:get:29 - GET params: ImmutableMultiDict([('qastudiotoken', 'AERH23HHAEJJHJHHJJH')])
2023-05-09 16:37:38.300 | WARNING  | logs_system:get:31 - GET params: ImmutableMultiDict([('qastudiotoken', 'AERH23HHAEJJHJHHJJH')])
2023-05-09 16:37:41.244 | ERROR    | logs_system:post:59 - none params
2023-05-09 16:37:41.246 | INFO     | logs_system:post:60 - none params
2023-05-09 16:37:41.247 | WARNING  | logs_system:post:62 - none params
2023-05-09 16:37:41.248 | DEBUG    | logs_system:post:63 - none params
2023-05-09 17:45:06.087 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor'}
2023-05-09 17:45:06.094 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-05-09 17:45:06.095 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-05-09 17:45:06.096 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-05-09 17:45:31.803 | ERROR    | logs_system:post:44 - Invalid token
2023-05-09 17:45:31.807 | INFO     | logs_system:post:45 - Invalid token
2023-05-09 17:45:31.808 | WARNING  | logs_system:post:47 - Invalid token
2023-05-09 17:45:31.808 | DEBUG    | logs_system:post:48 - Invalid token
2023-05-12 12:06:08.015 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor'}
2023-05-12 12:06:08.024 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-05-12 12:06:08.024 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-05-12 12:06:08.025 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-05-12 12:06:17.709 | ERROR    | logs_system:post:44 - Invalid token
2023-05-12 12:06:17.712 | INFO     | logs_system:post:45 - Invalid token
2023-05-12 12:06:17.712 | WARNING  | logs_system:post:47 - Invalid token
2023-05-12 12:06:17.713 | DEBUG    | logs_system:post:48 - Invalid token
2023-05-13 21:03:02.923 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor'}
2023-05-13 21:03:02.932 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-05-13 21:03:02.932 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-05-13 21:03:02.933 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-05-13 21:03:32.823 | ERROR    | logs_system:post:44 - Invalid token
2023-05-13 21:03:32.831 | INFO     | logs_system:post:45 - Invalid token
2023-05-13 21:03:32.832 | WARNING  | logs_system:post:47 - Invalid token
2023-05-13 21:03:32.832 | DEBUG    | logs_system:post:48 - Invalid token
2023-05-14 19:29:34.720 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor'}
2023-05-14 19:29:34.728 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-05-14 19:29:34.735 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-05-14 19:29:34.736 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-05-14 19:30:01.690 | ERROR    | logs_system:post:44 - Invalid token
2023-05-14 19:30:01.697 | INFO     | logs_system:post:45 - Invalid token
2023-05-14 19:30:01.698 | WARNING  | logs_system:post:47 - Invalid token
2023-05-14 19:30:01.698 | DEBUG    | logs_system:post:48 - Invalid token
